ClassID	Desc	Image	ItemID	MonsterID
69	None	PetAbyssAfkeer.bmp	189615	5900
70	None	PetAbyssDeses.bmp	189616	6000
71	None	PetNewNercobus.bmp	189631	6100
72	None	PetFahrel.bmp	189632	6200
73	None	PetTalos.bmp	189633	6300
74	None	PetAutoT.bmp	189634	6400
75	None	PetAutoTG.bmp	189635	6500
76	None	PetNovia.bmp	189636	6600
77	None	PetLavaleaf.bmp	189637	6700
78	None	PetEinschwer.bmp	189638	6800
79	None	PetMontorofinal.bmp	189639	6900
80	None	PetLavid.bmp	189640	7000
81	None	PetTreasurePhobitan.bmp	189641	7100
82	None	PetRayphantom.bmp	189642	7200
83	None	PetFlyingfrog.bmp	189643	7300
84	None	PetDorol.bmp	189644	7400
85	None	PetNovia.bmp	189645	7500
86	None	PetLavaleaf.bmp	189646	7600
87	None	PetEinschwer.bmp	189647	7700
88	None	Petkranus.bmp	189648	7900
89	None	PetDevilFordoi.bmp	189649	8000
90	<$>189728</>	PetBabyTalos.bmp	189650	8100
91	None	PetOscuras.bmp	189651	8200
92	None	PetNewNercobus.bmp	189652	8300
93	None	PetStoneCortess.bmp	189665	8400
94	None	PetMontorofinal.bmp	189666	8500
95	None	Pet_teusmachina.bmp	189667	8600
96	None	Pet_cerberus.bmp	189668	8700
97	None	PetLavid.bmp	189669	8900
98	None	PetDorol.bmp	189670	9000
99	None	Petkranus.bmp	189671	9100
500	<$>104592</>	PetTiger_Y.bmp	800002	1100
501	<$>104595</>	PetJormongand.bmp	800003	2400
502	<$>104587</>	PetReydeavaricia.bmp	800004	1500
503	<$>104594</>	PetAcorchado.bmp	800005	2500
504	<$>111091</>	PetBlueHorse.bmp	800006	3300
505	<$>111092</>	PetRedHorse.bmp	800007	3400
506	<$>133198</>	PetDivino.bmp	800011	5000
507	<$>189728</>	PetBabyTalos.bmp	24134	7800
508	<$>189728</>	PetBabyTalos.bmp	24144	7800
509	<$>198796</>	PetBabyAutobaron.bmp	24145	8800
510	<$>198796</>	PetBabyAutobaron.bmp	24147	8800
520	<$>104593</>	PetPhobitan.bmp	1000027	2200
521	<$>201222</>	Pet_BlueBall.bmp	24151	9200
522	<$>201222</>	Pet_BlueBall.bmp	24154	9200
523	<$>201293</>	Pet_BlueBall.bmp	24153	3600
525	<$>202039</>	PetBearBaby.bmp	24156	9400
526	<$>202039</>	PetBearBaby.bmp	24157	9400
527	<$>215222</>	Petfoxbaby.bmp	24166	9500
528	<$>215222</>	Petfoxbaby.bmp	24167	9500
529	<$>104593</>	PetTcapyleader.bmp	24197	1600
530	<$>104593</>	PetCockatries.bmp	24198	1700
531	<$>127727</>	PetSavertiger.bmp	24199	5200
532	<$>166393</>	PetRudolph.bmp	24200	700
533	<$>104592</>	PetTiger_B.bmp	24201	1200
534	<$>104592</>	PetTiger_W.bmp	24202	1300
535	<$>104592</>	PetTiger_R.bmp	24203	1400
536	<$>111089</>	PetSnowGolem.bmp	24204	3100
537	<$>222505</>	PetNecroBible.bmp	24234	9600
538	<$>222505</>	PetNecroBible.bmp	24235	9600
539	<$>222968</>	PetToyLloyd.bmp	24240	9700
540	<$>222968</>	PetToyLloyd.bmp	24241	9700
400000	<$>202074</>	PetDeer.bmp	300000	400000
400001	<$>104587</>	PetTiger_Y.bmp	421426	400001
400002	<$>104592</>	PetTiger_B.bmp	421427	400002
400003	<$>104592</>	PetTiger_W.bmp	421428	400003
500000	<$>79012</>	PetElephant.bmp	521400	500000
